@timestamp,jvm.metrics.memory.heap_memory_usage.committed,jvm.metrics.memory.heap_memory_usage.max,jvm.metrics.memory.heap_memory_usage.used,jvm.metrics.threading.thread_count,jvm.metrics.gc.psms.collection_count,jvm.metrics.gc.psms.collection_time,jvm.metrics.gc.pss.collection_count,jvm.metrics.gc.pss.collection_time,label
2018-01-01 00:22:00,2057306112.0,2057306112.0,986646000.0,987.0,0,0,1,40,0
2018-01-01 00:23:00,2060976128.0,2060976128.0,952495304.0,987.0,0,0,2,76,0
2018-01-01 00:24:00,2064646144.0,2064646144.0,905965776.0,988.0,0,0,2,80,0
2018-01-01 00:25:00,2067267584.0,2067267584.0,834654312.0,988.0,0,0,2,78,0
2018-01-01 00:26:00,2070937600.0,2070937600.0,757379112.0,987.0,0,0,2,79,0
2018-01-01 00:27:00,2075656192.0,2075656192.0,672008992.0,987.0,0,0,2,89,0
2018-01-01 00:28:00,2078277632.0,2078277632.0,558980920.0,987.0,0,0,2,80,0
2018-01-01 00:29:00,2077229056.0,2077229056.0,995600888.0,990.0,0,0,1,31,0
2018-01-01 00:30:00,2077753344.0,2077753344.0,855290312.0,991.0,0,0,2,73,0
2018-01-01 00:31:00,2048393216.0,2048393216.0,672534912.0,1373.0,0,0,3,142,0
2018-01-01 00:32:00,2024275968.0,2024275968.0,996857016.0,1356.0,0,0,2,112,0
2018-01-01 00:33:00,2000683008.0,2000683008.0,930983408.0,1399.0,0,0,3,171,0
2018-01-01 00:34:00,2024800256.0,2024800256.0,969497504.0,1335.0,0,0,2,107,0
2018-01-01 00:35:00,2033713152.0,2033713152.0,551484704.0,1050.0,0,0,3,136,0
2018-01-01 00:36:00,2038956032.0,2038956032.0,607349376.0,1049.0,0,0,2,83,0
2018-01-01 00:37:00,2045771776.0,2045771776.0,649338320.0,1049.0,0,0,2,100,0
2018-01-01 00:38:00,2052587520.0,2052587520.0,657476176.0,1049.0,0,0,2,106,0
2018-01-01 00:39:00,2058354688.0,2058354688.0,648523456.0,1050.0,0,0,2,105,0
2018-01-01 00:40:00,2058354688.0,2058354688.0,596466152.0,1050.0,0,0,2,78,0
2018-01-01 00:41:00,2056257536.0,2056257536.0,519765936.0,1049.0,0,0,2,72,0
2018-01-01 00:42:00,2056781824.0,2056781824.0,1007468072.0,1049.0,0,0,1,30,0
2018-01-01 00:43:00,2056781824.0,2056781824.0,963669944.0,1049.0,0,0,2,68,0
2018-01-01 00:44:00,2058878976.0,2058878976.0,919240056.0,1052.0,0,0,2,75,0
2018-01-01 00:45:00,2063073280.0,2063073280.0,857068520.0,1052.0,0,0,2,77,0
2018-01-01 00:46:00,2068840448.0,2068840448.0,1065640024.0,1297.0,0,0,2,82,0
2018-01-01 00:47:00,2046296064.0,2046296064.0,736547560.0,1315.0,0,0,3,146,0
2018-01-01 00:48:00,2024800256.0,2024800256.0,673319200.0,1424.0,0,0,3,172,0
2018-01-01 00:49:00,1992294400.0,1992294400.0,1002682368.0,1448.0,0,0,2,116,0
2018-01-01 00:50:00,2033188864.0,2033188864.0,678452960.0,1282.0,0,0,3,172,0
2018-01-01 00:51:00,2040004608.0,2040004608.0,725993400.0,1120.0,0,0,2,106,0
2018-01-01 00:52:00,2045247488.0,2045247488.0,760771248.0,1120.0,0,0,2,100,0
2018-01-01 00:53:00,2049966080.0,2049966080.0,761280704.0,1120.0,0,0,2,102,0
2018-01-01 00:54:00,2053636096.0,2053636096.0,766414976.0,1121.0,0,0,2,102,0
2018-01-01 00:55:00,2057306112.0,2057306112.0,742001064.0,1121.0,0,0,2,98,0
2018-01-01 00:56:00,2060451840.0,2060451840.0,699293872.0,1120.0,0,0,2,98,0
2018-01-01 00:57:00,2062548992.0,2062548992.0,648845040.0,1120.0,0,0,2,93,0
2018-01-01 00:58:00,2057830400.0,2057830400.0,576031952.0,1120.0,0,0,2,62,0
2018-01-01 00:59:00,2060451840.0,2060451840.0,718386472.0,1123.0,1,813,2,74,0
2018-01-01 01:00:00,2061500416.0,2061500416.0,757186560.0,954.0,0,0,2,62,0
2018-01-01 01:01:00,2060976128.0,2060976128.0,718714280.0,951.0,0,0,2,69,0
2018-01-01 01:02:00,2041053184.0,2041053184.0,597859728.0,1251.0,0,0,3,134,0
2018-01-01 01:03:00,2005925888.0,2005925888.0,884338880.0,1256.0,0,0,2,97,0
2018-01-01 01:04:00,1990721536.0,1990721536.0,939492792.0,1306.0,0,0,3,157,0
2018-01-01 01:05:00,1942487040.0,1942487040.0,922593232.0,1241.0,0,0,3,154,0
2018-01-01 01:06:00,2004353024.0,2004353024.0,709009784.0,1076.0,0,0,3,137,0
2018-01-01 01:07:00,2006974464.0,2006974464.0,863589320.0,1001.0,0,0,2,83,0
2018-01-01 01:08:00,2008023040.0,2008023040.0,572764544.0,1001.0,0,0,3,109,0
2018-01-01 01:09:00,2010644480.0,2010644480.0,733793928.0,1002.0,0,0,2,90,0
2018-01-01 01:10:00,2020605952.0,2020605952.0,840044504.0,1002.0,0,0,2,78,0
2018-01-01 01:11:00,2027945984.0,2027945984.0,902194648.0,1001.0,0,0,2,68,0
2018-01-01 01:12:00,2033713152.0,2033713152.0,958834080.0,1001.0,0,0,2,63,0
2018-01-01 01:13:00,2037383168.0,2037383168.0,988210032.0,1001.0,0,0,2,58,0
2018-01-01 01:14:00,2041577472.0,2041577472.0,1010847152.0,1004.0,0,0,2,61,0
2018-01-01 01:15:00,2046820352.0,2046820352.0,1011129536.0,1002.0,0,0,2,63,0
2018-01-01 01:16:00,2053111808.0,2053111808.0,986895624.0,1001.0,0,0,2,61,0
2018-01-01 01:17:00,2067267584.0,2067267584.0,576420600.0,1151.0,0,0,3,103,0
2018-01-01 01:18:00,2043150336.0,2043150336.0,879848056.0,1256.0,0,0,2,98,0
2018-01-01 01:19:00,2016935936.0,2016935936.0,688530584.0,1293.0,0,0,3,148,0
2018-01-01 01:20:00,2027421696.0,2027421696.0,606412112.0,1369.0,0,0,3,171,0
2018-01-01 01:21:00,2025324544.0,2025324544.0,801671408.0,1333.0,0,0,2,113,0
2018-01-01 01:22:00,2033188864.0,2033188864.0,874756944.0,1051.0,0,0,2,97,0
2018-01-01 01:23:00,2038431744.0,2038431744.0,929626288.0,1051.0,0,0,2,86,0
2018-01-01 01:24:00,2043150336.0,2043150336.0,956442904.0,1052.0,0,0,2,82,0
2018-01-01 01:25:00,2047344640.0,2047344640.0,973297984.0,1052.0,0,0,2,82,0
2018-01-01 01:26:00,2051538944.0,2051538944.0,974775544.0,1051.0,0,0,2,81,0
2018-01-01 01:27:00,2055733248.0,2055733248.0,957311320.0,1051.0,0,0,2,77,0
2018-01-01 01:28:00,2058878976.0,2058878976.0,930035568.0,1051.0,0,0,2,70,0
2018-01-01 01:29:00,2062548992.0,2062548992.0,894134848.0,1054.0,0,0,2,73,0
2018-01-01 01:30:00,2067791872.0,2067791872.0,842200440.0,1053.0,0,0,2,74,0
2018-01-01 01:31:00,2073559040.0,2073559040.0,764524016.0,1052.0,0,0,2,82,0
2018-01-01 01:32:00,2075656192.0,2075656192.0,661335584.0,1052.0,0,0,2,88,0
2018-01-01 01:33:00,2062024704.0,2062024704.0,882271984.0,1247.0,0,0,2,92,0
2018-01-01 01:34:00,2038956032.0,2038956032.0,641553240.0,1334.0,0,0,3,143,0
2018-01-01 01:35:00,2023751680.0,2023751680.0,1008923064.0,1426.0,0,0,2,107,0
2018-01-01 01:36:00,2033188864.0,2033188864.0,800770024.0,1349.0,0,0,3,154,0
2018-01-01 01:37:00,2040528896.0,2040528896.0,915899592.0,1188.0,0,0,2,98,0
2018-01-01 01:38:00,2044198912.0,2044198912.0,946113136.0,1102.0,0,0,2,91,0
2018-01-01 01:39:00,2046296064.0,2046296064.0,964089456.0,1103.0,0,0,2,85,0
2018-01-01 01:40:00,2049441792.0,2049441792.0,967282152.0,1103.0,0,0,2,85,0
2018-01-01 01:41:00,2052587520.0,2052587520.0,935393104.0,1102.0,0,0,2,85,0
2018-01-01 01:42:00,2056257536.0,2056257536.0,916604064.0,1102.0,0,0,2,80,0
2018-01-01 01:43:00,2059927552.0,2059927552.0,870357960.0,1102.0,0,0,2,83,0
2018-01-01 01:44:00,2063597568.0,2063597568.0,829071960.0,1105.0,0,0,2,80,0
2018-01-01 01:45:00,2067267584.0,2067267584.0,764749080.0,1103.0,0,0,2,81,0
2018-01-01 01:46:00,2071986176.0,2071986176.0,696496600.0,1102.0,0,0,2,88,0
2018-01-01 01:47:00,2069364736.0,2069364736.0,1128063000.0,1102.0,0,0,1,31,0
2018-01-01 01:48:00,2071461888.0,2071461888.0,1015994928.0,1102.0,0,0,2,70,0
2018-01-01 01:49:00,2053636096.0,2053636096.0,738225080.0,1385.0,0,0,3,128,0
2018-01-01 01:50:00,2027421696.0,2027421696.0,1091103760.0,1489.0,0,0,2,111,0
2018-01-01 01:51:00,2018508800.0,2018508800.0,821677224.0,1424.0,0,0,3,158,0
2018-01-01 01:52:00,2030043136.0,2030043136.0,1037186784.0,1408.0,0,0,2,103,0
2018-01-01 01:53:00,2031091712.0,2031091712.0,1079876856.0,1242.0,0,0,2,96,0
2018-01-01 01:54:00,2041577472.0,2041577472.0,630022296.0,1153.0,0,0,3,121,0
2018-01-01 01:55:00,2044723200.0,2044723200.0,638224424.0,1153.0,0,0,2,78,0
2018-01-01 01:56:00,2048393216.0,2048393216.0,646901168.0,1152.0,0,0,2,80,0
2018-01-01 01:57:00,2052063232.0,2052063232.0,647934512.0,1152.0,0,0,2,80,0
2018-01-01 01:58:00,2056257536.0,2056257536.0,631375560.0,1152.0,0,0,2,67,0
2018-01-01 01:59:00,2062024704.0,2062024704.0,718971480.0,1155.0,1,727,2,77,0
2018-01-01 02:00:00,2063073280.0,2063073280.0,744646184.0,953.0,0,0,2,60,0
2018-01-01 02:01:00,2066219008.0,2066219008.0,723322488.0,952.0,0,0,2,66,0
2018-01-01 02:02:00,2058878976.0,2058878976.0,659606640.0,952.0,0,0,2,82,0
2018-01-01 02:03:00,2060451840.0,2060451840.0,551499360.0,952.0,0,0,2,73,0
2018-01-01 02:04:00,2026897408.0,2026897408.0,870043632.0,1151.0,0,0,2,93,0
2018-01-01 02:05:00,2021130240.0,2021130240.0,751864248.0,1309.0,0,0,3,144,0
2018-01-01 02:06:00,1998061568.0,1998061568.0,770487280.0,1314.0,0,0,3,150,0
2018-01-01 02:07:00,2005401600.0,2005401600.0,701496440.0,1250.0,0,0,3,147,0
2018-01-01 02:08:00,2015363072.0,2015363072.0,923735768.0,1092.0,0,0,2,88,0
2018-01-01 02:09:00,2023227392.0,2023227392.0,557597504.0,1003.0,0,0,3,117,0
2018-01-01 02:10:00,2030043136.0,2030043136.0,677570552.0,1003.0,0,0,2,85,0
2018-01-01 02:11:00,2037383168.0,2037383168.0,726587632.0,1002.0,0,0,2,92,0
2018-01-01 02:12:00,2042626048.0,2042626048.0,764692176.0,1002.0,0,0,2,88,0
2018-01-01 02:13:00,2047868928.0,2047868928.0,787244520.0,1002.0,0,0,2,80,0
2018-01-01 02:14:00,2052063232.0,2052063232.0,793421696.0,1005.0,0,0,2,75,0
2018-01-01 02:15:00,2055733248.0,2055733248.0,781048016.0,1005.0,0,0,2,80,0
2018-01-01 02:16:00,2059403264.0,2059403264.0,739300880.0,1002.0,0,0,2,77,0
2018-01-01 02:17:00,2064121856.0,2064121856.0,695889040.0,1002.0,0,0,2,90,0
2018-01-01 02:18:00,2067791872.0,2067791872.0,607866560.0,1002.0,0,0,2,76,0
2018-01-01 02:19:00,2059927552.0,2059927552.0,723684384.0,1153.0,0,0,2,80,0
2018-01-01 02:20:00,2054160384.0,2054160384.0,980560160.0,1272.0,0,0,2,106,0
2018-01-01 02:21:00,2033713152.0,2033713152.0,742317336.0,1271.0,0,0,3,144,0
2018-01-01 02:22:00,2036334592.0,2036334592.0,768702320.0,1381.0,0,0,3,157,0
2018-01-01 02:23:00,2034761728.0,2034761728.0,1027105512.0,1285.0,0,0,2,104,0
2018-01-01 02:24:00,2038956032.0,2038956032.0,552901816.0,1184.0,0,0,3,128,0
2018-01-01 02:25:00,2040528896.0,2040528896.0,583834368.0,1053.0,0,0,2,76,0
2018-01-01 02:26:00,2041577472.0,2041577472.0,601713304.0,1052.0,0,0,2,74,0
2018-01-01 02:27:00,2044198912.0,2044198912.0,613604000.0,1052.0,0,0,2,70,0
2018-01-01 02:28:00,2047868928.0,2047868928.0,626888088.0,1052.0,0,0,2,69,0
2018-01-01 02:29:00,2053111808.0,2053111808.0,605287064.0,1055.0,0,0,2,68,0
2018-01-01 02:30:00,2057306112.0,2057306112.0,584833816.0,1053.0,0,0,2,71,0
2018-01-01 02:31:00,2061500416.0,2061500416.0,1080075728.0,1052.0,0,0,1,34,0
2018-01-01 02:32:00,2065170432.0,2065170432.0,1030453248.0,1052.0,0,0,2,67,0
2018-01-01 02:33:00,2069889024.0,2069889024.0,961219536.0,1052.0,0,0,2,68,0
2018-01-01 02:34:00,2076180480.0,2076180480.0,851215032.0,1053.0,0,0,2,74,0
2018-01-01 02:35:00,2072510464.0,2072510464.0,995304744.0,1243.0,0,0,2,80,0
2018-01-01 02:36:00,2055733248.0,2055733248.0,731213064.0,1390.0,0,0,3,151,0
2018-01-01 02:37:00,2020605952.0,2020605952.0,1048317376.0,1432.0,0,0,2,103,0
2018-01-01 02:38:00,2024275968.0,2024275968.0,1023864448.0,1391.0,0,0,3,166,0
2018-01-01 02:39:00,2028470272.0,2028470272.0,783661424.0,1230.0,0,0,3,159,0
2018-01-01 02:40:00,2032664576.0,2032664576.0,833027336.0,1103.0,0,0,2,97,0
2018-01-01 02:41:00,2038956032.0,2038956032.0,850198392.0,1102.0,0,0,2,91,0
2018-01-01 02:42:00,2043674624.0,2043674624.0,867797696.0,1102.0,0,0,2,87,0
2018-01-01 02:43:00,2047344640.0,2047344640.0,868885824.0,1102.0,0,0,2,92,0
2018-01-01 02:44:00,2051538944.0,2051538944.0,872981416.0,1105.0,0,0,2,87,0
2018-01-01 02:45:00,2054684672.0,2054684672.0,845433640.0,1105.0,0,0,2,104,0
2018-01-01 02:46:00,2058354688.0,2058354688.0,803647976.0,1102.0,0,0,2,83,0
2018-01-01 02:47:00,2062024704.0,2062024704.0,752572776.0,1102.0,0,0,2,86,0
2018-01-01 02:48:00,2064646144.0,2064646144.0,680495856.0,1102.0,0,0,2,81,0
2018-01-01 02:49:00,2064121856.0,2064121856.0,1135147160.0,1103.0,0,0,1,30,0
2018-01-01 02:50:00,2051014656.0,2051014656.0,716840008.0,1251.0,0,0,3,112,0
2018-01-01 02:51:00,2041577472.0,2041577472.0,1004141384.0,1399.0,0,0,2,92,0
2018-01-01 02:52:00,2036334592.0,2036334592.0,761382272.0,1417.0,0,0,3,152,0
2018-01-01 02:53:00,2009071616.0,2009071616.0,715883872.0,1435.0,0,0,3,158,0
2018-01-01 02:54:00,1993867264.0,1993867264.0,1058648992.0,1402.0,0,0,2,109,0
2018-01-01 02:55:00,2035810304.0,2035810304.0,790162984.0,1285.0,0,0,3,157,0
2018-01-01 02:56:00,2040528896.0,2040528896.0,826226336.0,1152.0,0,0,2,104,0
2018-01-01 02:57:00,2043674624.0,2043674624.0,867565256.0,1152.0,0,0,2,98,0
2018-01-01 02:58:00,2046820352.0,2046820352.0,892278352.0,1152.0,0,0,2,90,0
2018-01-01 02:59:00,2047868928.0,2047868928.0,709792624.0,1155.0,1,706,3,129,0
2018-01-01 03:00:00,1980235776.0,1980235776.0,771912784.0,953.0,0,0,2,60,0
2018-01-01 03:01:00,2047344640.0,2047344640.0,818677552.0,952.0,0,0,2,60,0
2018-01-01 03:02:00,2053111808.0,2053111808.0,808008800.0,952.0,0,0,2,69,0
2018-01-01 03:03:00,2059403264.0,2059403264.0,771302192.0,952.0,0,0,2,74,0
2018-01-01 03:04:00,2040528896.0,2040528896.0,730560672.0,953.0,0,0,2,80,0
2018-01-01 03:05:00,2040528896.0,2040528896.0,658086680.0,953.0,0,0,2,88,0
2018-01-01 03:06:00,2028994560.0,2028994560.0,959064920.0,1151.0,0,0,2,92,0
2018-01-01 03:07:00,2023751680.0,2023751680.0,767461640.0,1315.0,0,0,3,142,0
2018-01-01 03:08:00,2030043136.0,2030043136.0,749470224.0,1292.0,0,0,3,149,0
2018-01-01 03:09:00,2032140288.0,2032140288.0,773228288.0,1327.0,0,0,3,149,0
2018-01-01 03:10:00,2034761728.0,2034761728.0,567528864.0,1246.0,0,0,3,141,0
2018-01-01 03:11:00,1977090048.0,1977090048.0,604989656.0,1032.0,0,0,2,75,0
2018-01-01 03:12:00,2036858880.0,2036858880.0,660999592.0,1002.0,0,0,2,90,0
2018-01-01 03:13:00,2040528896.0,2040528896.0,682654272.0,1002.0,0,0,2,95,0
2018-01-01 03:14:00,2044723200.0,2044723200.0,699400176.0,1005.0,0,0,2,94,0
2018-01-01 03:15:00,2048917504.0,2048917504.0,696929688.0,1005.0,0,0,2,92,0
2018-01-01 03:16:00,2052587520.0,2052587520.0,682177792.0,1002.0,0,0,2,90,0
2018-01-01 03:17:00,2056257536.0,2056257536.0,652880224.0,1002.0,0,0,2,92,0
2018-01-01 03:18:00,2001207296.0,2001207296.0,584814232.0,1002.0,0,0,2,65,0
2018-01-01 03:19:00,2055733248.0,2055733248.0,542822288.0,1003.0,0,0,2,59,0
2018-01-01 03:20:00,2056257536.0,2056257536.0,1023378104.0,1003.0,0,0,1,33,0
2018-01-01 03:21:00,2058354688.0,2058354688.0,650444896.0,1148.0,0,0,3,112,0
2018-01-01 03:22:00,2028994560.0,2028994560.0,965124776.0,1277.0,0,0,2,98,0
2018-01-01 03:23:00,2033713152.0,2033713152.0,796704896.0,1277.0,0,0,3,151,0
2018-01-01 03:24:00,2008023040.0,2008023040.0,730274592.0,1347.0,0,0,3,156,0
2018-01-01 03:25:00,2029518848.0,2029518848.0,1050912576.0,1220.0,0,0,2,107,0
2018-01-01 03:26:00,2038956032.0,2038956032.0,787861888.0,1180.0,0,0,3,154,0
2018-01-01 03:27:00,2043150336.0,2043150336.0,815879312.0,1052.0,0,0,2,98,0
2018-01-01 03:28:00,2046296064.0,2046296064.0,832140432.0,1052.0,0,0,2,92,0
2018-01-01 03:29:00,2049441792.0,2049441792.0,840429232.0,1055.0,0,0,2,89,0
2018-01-01 03:30:00,2053111808.0,2053111808.0,836537144.0,1053.0,0,0,2,89,0
2018-01-01 03:31:00,2056257536.0,2056257536.0,821002912.0,1052.0,0,0,2,90,0
2018-01-01 03:32:00,2059927552.0,2059927552.0,784587400.0,1052.0,0,0,2,89,0
2018-01-01 03:33:00,2063597568.0,2063597568.0,744051872.0,1052.0,0,0,2,89,0
2018-01-01 03:34:00,2065170432.0,2065170432.0,681395912.0,1053.0,0,0,2,83,0
2018-01-01 03:35:00,2061500416.0,2061500416.0,595786856.0,1053.0,0,0,2,60,0
2018-01-01 03:36:00,2062548992.0,2062548992.0,1051651648.0,1052.0,0,0,1,33,0
2018-01-01 03:37:00,2053636096.0,2053636096.0,800834376.0,1240.0,0,0,3,119,0
2018-01-01 03:38:00,2043150336.0,2043150336.0,1000125160.0,1323.0,0,0,2,99,0
2018-01-01 03:39:00,2024800256.0,2024800256.0,821349872.0,1332.0,0,0,3,153,0
2018-01-01 03:40:00,2035810304.0,2035810304.0,669202264.0,1359.0,0,0,3,156,0
2018-01-01 03:41:00,2032664576.0,2032664576.0,956864456.0,1377.0,0,0,2,112,0
2018-01-01 03:42:00,2038956032.0,2038956032.0,1022140432.0,1220.0,0,0,2,98,0
2018-01-01 03:43:00,2040004608.0,2040004608.0,1039753592.0,1102.0,0,0,2,84,0
2018-01-01 03:44:00,2042101760.0,2042101760.0,1061880616.0,1105.0,0,0,2,82,0
2018-01-01 03:45:00,2045247488.0,2045247488.0,1087825480.0,1105.0,0,0,2,76,0
2018-01-01 03:46:00,2047868928.0,2047868928.0,1104851480.0,1102.0,0,0,2,77,0
2018-01-01 03:47:00,2051538944.0,2051538944.0,1107434328.0,1102.0,0,0,2,71,0
2018-01-01 03:48:00,2055733248.0,2055733248.0,1095091184.0,1102.0,0,0,2,67,0
2018-01-01 03:49:00,2059927552.0,2059927552.0,1072188768.0,1103.0,0,0,2,69,0
2018-01-01 03:50:00,2063597568.0,2063597568.0,1035444888.0,1103.0,0,0,2,63,0
2018-01-01 03:51:00,2068840448.0,2068840448.0,956245648.0,1102.0,0,0,2,70,0
2018-01-01 03:52:00,2069889024.0,2069889024.0,1045795432.0,1249.0,0,0,2,79,0
2018-01-01 03:53:00,2058354688.0,2058354688.0,741184680.0,1333.0,0,0,3,145,0
2018-01-01 03:54:00,2026373120.0,2026373120.0,1043443496.0,1447.0,0,0,2,105,0
2018-01-01 03:55:00,2030567424.0,2030567424.0,942347392.0,1402.0,0,0,3,154,0
2018-01-01 03:56:00,2033713152.0,2033713152.0,750672608.0,1364.0,0,0,3,155,0
2018-01-01 03:57:00,2033713152.0,2033713152.0,954869360.0,1283.0,0,0,2,109,0
2018-01-01 03:58:00,2036858880.0,2036858880.0,984145416.0,1184.0,0,0,2,97,0
2018-01-01 03:59:00,2046296064.0,2046296064.0,711956552.0,1155.0,1,625,3,132,0
2018-01-01 04:00:00,2042101760.0,2042101760.0,793938424.0,955.0,0,0,2,57,0
2018-01-01 04:01:00,2048393216.0,2048393216.0,858698168.0,952.0,0,0,2,58,0
2018-01-01 04:02:00,2056257536.0,2056257536.0,862558088.0,952.0,0,0,2,61,0
2018-01-01 04:03:00,2059927552.0,2059927552.0,837497520.0,952.0,0,0,2,71,0
2018-01-01 04:04:00,2059927552.0,2059927552.0,788088072.0,953.0,0,0,2,74,0
2018-01-01 04:05:00,2058354688.0,2058354688.0,736410520.0,953.0,0,0,2,76,0
2018-01-01 04:06:00,2056781824.0,2056781824.0,690233296.0,952.0,0,0,2,84,0
2018-01-01 04:07:00,2058354688.0,2058354688.0,623515488.0,952.0,0,0,2,77,0
2018-01-01 04:08:00,2057830400.0,2057830400.0,923090416.0,1150.0,0,0,2,93,0
2018-01-01 04:09:00,2052587520.0,2052587520.0,786789536.0,1352.0,0,0,3,132,0
2018-01-01 04:10:00,2051014656.0,2051014656.0,1050290200.0,1239.0,0,0,2,97,0
2018-01-01 04:11:00,2050490368.0,2050490368.0,904785304.0,1194.0,0,0,3,146,0
2018-01-01 04:12:00,2041053184.0,2041053184.0,693779416.0,1207.0,0,0,3,147,0
2018-01-01 04:13:00,2049966080.0,2049966080.0,676776952.0,1079.0,0,0,2,106,0
2018-01-01 04:14:00,2053111808.0,2053111808.0,658797064.0,1005.0,0,0,2,100,0
2018-01-01 04:15:00,2011168768.0,2011168768.0,616801112.0,1003.0,0,0,2,80,0
2018-01-01 04:16:00,1997012992.0,1997012992.0,584794360.0,1002.0,0,0,2,70,0
2018-01-01 04:17:00,2050490368.0,2050490368.0,571686832.0,1002.0,0,0,2,69,0
2018-01-01 04:18:00,2050490368.0,2050490368.0,566977464.0,1002.0,0,0,2,72,0
2018-01-01 04:19:00,2052063232.0,2052063232.0,547897760.0,1003.0,0,0,2,68,0
2018-01-01 04:20:00,2056781824.0,2056781824.0,1044686544.0,1003.0,0,0,1,34,0
2018-01-01 04:21:00,2059927552.0,2059927552.0,1009127568.0,1002.0,0,0,2,64,0
2018-01-01 04:22:00,2064121856.0,2064121856.0,952868096.0,1002.0,0,0,2,63,0
2018-01-01 04:23:00,2069364736.0,2069364736.0,1054554384.0,1151.0,0,0,2,73,0
2018-01-01 04:24:00,2058354688.0,2058354688.0,743763512.0,1316.0,0,0,3,134,0
2018-01-01 04:25:00,2023751680.0,2023751680.0,980843720.0,1324.0,0,0,2,103,0
2018-01-01 04:26:00,2032664576.0,2032664576.0,842852160.0,1249.0,0,0,3,151,0
2018-01-01 04:27:00,2007498752.0,2007498752.0,784082808.0,1307.0,0,0,3,155,0
2018-01-01 04:28:00,2030043136.0,2030043136.0,981522968.0,1185.0,0,0,2,106,0
2018-01-01 04:29:00,2033188864.0,2033188864.0,1011830296.0,1086.0,0,0,2,90,0
2018-01-01 04:30:00,2036858880.0,2036858880.0,1042661480.0,1055.0,0,0,2,81,0
2018-01-01 04:31:00,2039480320.0,2039480320.0,1075020144.0,1052.0,0,0,2,74,0
2018-01-01 04:32:00,2047344640.0,2047344640.0,591257648.0,1052.0,0,0,3,110,0
2018-01-01 04:33:00,2051014656.0,2051014656.0,595047488.0,1052.0,0,0,2,70,0
2018-01-01 04:34:00,2048917504.0,2048917504.0,1097357504.0,1053.0,0,0,1,35,0
2018-01-01 04:35:00,2053111808.0,2053111808.0,1078727072.0,1053.0,0,0,2,68,0
2018-01-01 04:36:00,2057306112.0,2057306112.0,1046532296.0,1052.0,0,0,2,66,0
2018-01-01 04:37:00,2061500416.0,2061500416.0,980912448.0,1052.0,0,0,2,71,0
2018-01-01 04:38:00,2066219008.0,2066219008.0,880855160.0,1052.0,0,0,2,74,0
2018-01-01 04:39:00,2054160384.0,2054160384.0,1015906632.0,1201.0,0,0,2,87,0
2018-01-01 04:40:00,2040528896.0,2040528896.0,884218040.0,1364.0,0,0,3,139,0
2018-01-01 04:41:00,2017460224.0,2017460224.0,647977832.0,1375.0,0,0,3,152,0
2018-01-01 04:42:00,2004353024.0,2004353024.0,882567528.0,1355.0,0,0,2,110,0
2018-01-01 04:43:00,2025324544.0,2025324544.0,1006527216.0,1413.0,0,0,3,166,0
